Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Inventor's Goggles",1,"Artifact - Equipment",,"kld","218",common,c,"Not Owned",Non-foil,false,,"","Artificers","",62051,
"Malfunction",4,"Enchantment - Aura",U,"kld","55",common,u,"Not Owned",Non-foil,false,,"","Artificers","",61643,
"Thriving Isle",0,"Land",U,"jmp","36",common,l,"Not Owned",Non-foil,false,,"","Artificers","",,
"Merfolk Looter",2,"Creature - Merfolk Rogue",U,"10e","92",common,u,"Not Owned",Non-foil,false,,"","Atlantis","",27410,
"Vodalian Arcanist",2,"Creature - Merfolk Wizard",U,"dom","73",common,u,"Not Owned",Non-foil,false,,"","Atlantis","",67611,
"Merfolk Sovereign",3,"Creature - Merfolk Noble",U,"m10","62",rare,u,"Not Owned",Non-foil,false,,"","Atlantis","",32855,
"Watertrap Weaver",3,"Creature - Merfolk Wizard",U,"xln","87",common,u,"Not Owned",Non-foil,false,,"","Atlantis","",65188,
"Saltwater Stalwart",4,"Creature - Merfolk Warrior",U,"bbd","39",common,u,"Not Owned",Non-foil,false,,"","Atlantis","",68806,
"Seafloor Oracle",4,"Creature - Merfolk Wizard",U,"rix","51",rare,u,"Not Owned",Non-foil,false,,"","Atlantis","",66555,
"Tempest Caller",4,"Creature - Merfolk Wizard",U,"xln","86",uncommon,u,"Not Owned",Non-foil,false,,"","Atlantis","",65186,
"Shipwreck Dowser",5,"Creature - Merfolk Wizard",U,"m21","71",uncommon,u,"Not Owned",Non-foil,false,,"","Atlantis","",81369,
"Unsummon",1,"Instant",U,"m10","79",common,u,"Not Owned",Non-foil,false,,"","Atlantis","",32711,
"Crashing Tide",3,"Sorcery",U,"rix","34",common,u,"Not Owned",Non-foil,false,,"","Atlantis","",66521,
"Read the Tides",6,"Sorcery",U,"m21","62",common,u,"Not Owned",Non-foil,false,,"","Atlantis","",81351,
"Aquatic Incursion",4,"Enchantment",U,"rix","32",uncommon,u,"Not Owned",Non-foil,false,,"","Atlantis","",66517,
"Thriving Isle",0,"Land",U,"jmp","36",common,l,"Not Owned",Non-foil,false,,"","Atlantis","",,
"Black Cat",2,"Creature - Zombie Cat",B,"m15","86",common,b,"Not Owned",Non-foil,false,,"","Bad Omens","",53378,
"Blood Artist",2,"Creature - Vampire",B,"avr","86",uncommon,b,"Not Owned",Non-foil,false,,"","Bad Omens","",44105,
"Malakir Cullblade",2,"Creature - Vampire Warrior",B,"ori","108",uncommon,b,"Not Owned",Non-foil,false,,"","Bad Omens","",57804,
"Caged Zombie",3,"Creature - Zombie",B,"m21","91",common,b,"Not Owned",Non-foil,false,,"","Bad Omens","",81409,
"Death's-Head Buzzard",3,"Creature - Bird",B,"a25","84",common,b,"Not Owned",Non-foil,false,,"","Bad Omens","",67082,
"Falkenrath Noble",4,"Creature - Vampire Noble",B,"mm3","70",common,b,"Not Owned",Non-foil,false,,"","Bad Omens","",63275,
"Swarm of Bloodflies",5,"Creature - Insect",B,"bbd","161",uncommon,b,"Not Owned",Non-foil,false,,"","Bad Omens","",,
"Underworld Sentinel",5,"Creature - Skeleton Soldier",B,"thb","293",rare,b,"Not Owned",Non-foil,false,,"","Bad Omens","",80001,
"Harvester of Souls",6,"Creature - Demon",B,"e01","34",rare,b,"Not Owned",Non-foil,false,,"","Bad Omens","",,
"Demonic Vigor",1,"Enchantment - Aura",B,"dom","85",common,b,"Not Owned",Non-foil,false,,"","Bad Omens","",67635,
"Yoke of the Damned",2,"Enchantment - Aura",B,"ddj","68",common,b,"Not Owned",Non-foil,false,,"","Bad Omens","",46055,
"Unholy Indenture",3,"Enchantment - Aura",B,"m20","119",common,b,"Not Owned",Non-foil,false,,"","Bad Omens","",73137,
"Thriving Moor",0,"Land",B,"jmp","37",common,l,"Not Owned",Non-foil,false,,"","Bad Omens","",,
"Lightwalker",2,"Creature - Human Warrior",W,"dtk","24",common,w,"Not Owned",Non-foil,false,,"","Basri","",56214,
"Tempered Veteran",2,"Creature - Human Knight",W,"m21","41",uncommon,w,"Not Owned",Non-foil,false,,"","Basri","",81309,
"Makeshift Battalion",3,"Creature - Human Soldier",W,"m21","26",common,w,"Not Owned",Non-foil,false,,"","Basri","",81279,
"Sandsteppe Outcast",3,"Creature - Human Warrior",W,"frf","25",common,w,"Not Owned",Non-foil,false,,"","Basri","",55460,
"Basri's Acolyte",4,"Creature - Cat Cleric",W,"m21","8",common,w,"Not Owned",Non-foil,false,,"","Basri","",81243,
"Basri's Lieutenant",4,"Creature - Human Knight",W,"m21","9",rare,w,"Not Owned",Non-foil,false,,"","Basri","",81245,
"Patron of the Valiant",5,"Creature - Angel",W,"jmp","128",uncommon,w,"Not Owned",Non-foil,false,,"","Basri","",,
"Basri Ket",3,"Legendary Planeswalker - Basri",W,"m21","7",mythic,w,"Not Owned",Non-foil,false,,"","Basri","",81241,
"Battlefield Promotion",2,"Instant",W,"war","5",common,w,"Not Owned",Non-foil,false,,"","Basri","",71616,
"Divine Arrow",2,"Instant",W,"jmp","100",common,w,"Not Owned",Non-foil,false,,"","Basri","",,
"Long Road Home",2,"Instant",W,"jmp","120",uncommon,w,"Not Owned",Non-foil,false,,"","Basri","",,
"Legion's Judgment",3,"Sorcery",W,"m21","24",common,w,"Not Owned",Non-foil,false,,"","Basri","",81275,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Basri","",,
"Ayula, Queen Among Bears",2,"Legendary Creature - Bear",G,"mh1","155",rare,g,"Not Owned",Non-foil,false,,"","Bears","",72682,
"Grizzly Bears",2,"Creature - Bear",G,"10e","268",common,g,"Not Owned",Non-foil,false,,"","Bears","",27400,
"Mother Bear",2,"Creature - Bear",G,"mh1","171",common,g,"Not Owned",Non-foil,false,,"","Bears","",72714,
"Ursine Champion",2,"Creature - Human Berserker",G,"m19","304",common,g,"Not Owned",Non-foil,false,,"","Bears","",68141,
"Werebear",2,"Creature - Human Bear Druid",G,"ema","191",common,g,"Not Owned",Non-foil,false,,"","Bears","",60955,
"Alpine Grizzly",3,"Creature - Bear",G,"ktk","127",common,g,"Not Owned",Non-foil,false,,"","Bears","",54036,
"Ulvenwald Bear",3,"Creature - Bear",G,"dka","129",common,g,"Not Owned",Non-foil,false,,"","Bears","",43229,
"Vivien's Grizzly",3,"Creature - Bear Spirit",G,"war","182",common,g,"Not Owned",Non-foil,false,,"","Bears","",71970,
"Goreclaw, Terror of Qal Sisma",4,"Legendary Creature - Bear",G,"m19","186",rare,g,"Not Owned",Non-foil,false,,"","Bears","",68533,
"Giant Growth",1,"Instant",G,"m11","178",common,g,"Not Owned",Non-foil,false,,"","Bears","",37094,
"Awaken the Bear",3,"Instant",G,"ktk","129",common,g,"Not Owned",Non-foil,false,,"","Bears","",54386,
"Savage Swipe",1,"Sorcery",G,"mh1","178",common,g,"Not Owned",Non-foil,false,,"","Bears","",72728,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Bears","",,
"Baloth Pup",2,"Creature - Beast",G,"ogw","127",uncommon,g,"Not Owned",Non-foil,false,,"","Beasts","",59575,
"Kalonian Tusker",2,"Creature - Beast",G,"m14","182",uncommon,g,"Not Owned",Non-foil,false,,"","Beasts","",49387,
"Advocate of the Beast",3,"Creature - Elf Shaman",G,"m14","164",common,g,"Not Owned",Non-foil,false,,"","Beasts","",49399,
"Krosan Warchief",3,"Creature - Beast",G,"c13","155",uncommon,g,"Not Owned",Non-foil,false,,"","Beasts","",51290,
"Ferocious Zheng",4,"Creature - Cat Beast",G,"gs1","28",common,g,"Not Owned",Non-foil,false,,"","Beasts","",,
"Ravenous Baloth",4,"Creature - Beast",G,"jmp","424",rare,g,"Not Owned",Non-foil,false,,"","Beasts","",,
"Indrik Stomphowler",5,"Creature - Beast",G,"c15","186",uncommon,g,"Not Owned",Non-foil,false,,"","Beasts","",,
"Thragtusk",5,"Creature - Beast",G,"m13","193",rare,g,"Not Owned",Non-foil,false,,"","Beasts","",45582,
"Affectionate Indrik",6,"Creature - Beast",G,"jmp","373",uncommon,g,"Not Owned",Non-foil,false,,"","Beasts","",,
"Nature's Way",2,"Sorcery",G,"ddu","20",uncommon,g,"Not Owned",Non-foil,false,,"","Beasts","",,
"Charge of the Forever-Beast",3,"Sorcery",G,"iko","147",uncommon,g,"Not Owned",Non-foil,false,,"","Beasts","",80303,
"Hunter's Edge",4,"Sorcery",G,"m21","189",common,g,"Not Owned",Non-foil,false,,"","Beasts","",81605,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Beasts","",,
"Eyekite",2,"Creature - Drake",U,"mh1","49",common,u,"Not Owned",Non-foil,false,,"","Bibliophile","",72470,
"Faerie Vandal",2,"Creature - Faerie Rogue",U,"eld","45",uncommon,u,"Not Owned",Non-foil,false,,"","Bibliophile","",78196,
"Gadwick, the Wizened",3,"Legendary Creature - Human Wizard",U,"eld","48",rare,u,"Not Owned",Non-foil,false,,"","Bibliophile","",78202,
"Library Larcenist",3,"Creature - Merfolk Rogue",U,"m21","55",common,u,"Not Owned",Non-foil,false,,"","Bibliophile","",81337,
"Oneirophage",4,"Creature - Squid Illusion",U,"jmp","162",uncommon,u,"Not Owned",Non-foil,false,,"","Bibliophile","",,
"Tome Anima",4,"Creature - Spirit",U,"m21","81",common,u,"Not Owned",Non-foil,false,,"","Bibliophile","",81389,
"Ormos, Archive Keeper",6,"Legendary Creature - Sphinx",U,"jmp","13",rare,u,"Not Owned",Non-foil,false,,"","Bibliophile","",,
"Tolarian Kraken",6,"Creature - Kraken",U,"m21","80",uncommon,u,"Not Owned",Non-foil,false,,"","Bibliophile","",81387,
"Exclude",3,"Instant",U,"mh1","48",uncommon,u,"Not Owned",Non-foil,false,,"","Bibliophile","",72468,
"Hard Cover",1,"Enchantment - Aura",U,"m20","63",uncommon,u,"Not Owned",Non-foil,false,,"","Bibliophile","",73025,
"Narcolepsy",2,"Enchantment - Aura",U,"mm2","52",common,u,"Not Owned",Non-foil,false,,"","Bibliophile","",57196,
"Rousing Read",3,"Enchantment - Aura",U,"m21","67",common,u,"Not Owned",Non-foil,false,,"","Bibliophile","",81361,
"Thriving Isle",0,"Land",U,"jmp","36",common,l,"Not Owned",Non-foil,false,,"","Bibliophile","",,
"Healer's Hawk",1,"Creature - Bird",W,"grn","14",common,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",69401,
"Concordia Pegasus",2,"Creature - Pegasus",W,"m20","304",common,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",73525,
"Soulcatcher",2,"Creature - Bird Soldier",W,"ema","30",uncommon,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",60839,
"Celestial Enforcer",3,"Creature - Human Cleric",W,"m21","11",common,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",81249,
"Falconer Adept",4,"Creature - Human Soldier",W,"m21","18",uncommon,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",81263,
"Seraph of Dawn",4,"Creature - Angel",W,"avr","35",common,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",43989,
"Archon of Redemption",5,"Creature - Archon",W,"wwk","3",rare,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",35673,
"Steel-Plume Marshal",5,"Creature - Bird Soldier",W,"jmp","5",rare,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",,
"Herald of the Sun",6,"Creature - Angel",W,"m20","23",uncommon,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",72945,
"Rally of Wings",2,"Instant",W,"war","27",uncommon,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",71660,
"Aerial Assault",3,"Sorcery",W,"jmp","80",common,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",,
"Sky Tether",1,"Enchantment - Aura",W,"rna","21",uncommon,w,"Not Owned",Non-foil,false,,"","Birds of a Feather","",71042,
"Thriving Heath",0,"Land",W,"jmp","35",common,l,"Not Owned",Non-foil,false,,"","Birds of a Feather","",,
"Bloodrage Brawler",2,"Creature - Minotaur Warrior",R,"jmp","296",uncommon,r,"Not Owned",Non-foil,false,,"","Bloodspillers","",,
"Goblin Cratermaker",2,"Creature - Goblin Warrior",R,"grn","103",uncommon,r,"Not Owned",Non-foil,false,,"","Bloodspillers","",69579,
"Goma Fada Vanguard",2,"Creature - Human Warrior",R,"znr","141",uncommon,r,"Not Owned",Non-foil,false,,"","Bloodspillers","",83255,
"Kargan Intimidator",2,"Creature - Human Warrior",R,"znr","145",rare,r,"Not Owned",Non-foil,false,,"","Bloodspillers","",83263,
"Expedition Champion",3,"Creature - Human Warrior",R,"znr","138",common,r,"Not Owned",Non-foil,false,,"","Bloodspillers","",83249,
"Goblin Assault Team",4,"Creature - Goblin Warrior",R,"war","129",common,r,"Not Owned",Non-foil,false,,"","Bloodspillers","",71864,
"Ogre Battledriver",4,"Creature - Ogre Warrior",R,"ddn","16",rare,r,"Not Owned",Non-foil,false,,"","Bloodspillers","",,
"Siegebreaker Giant",5,"Creature - Giant Warrior",R,"m19","157",uncommon,r,"Not Owned",Non-foil,false,,"","Bloodspillers","",68475,
"Boldwyr Intimidator",7,"Creature - Giant Warrior",R,"dds","36",uncommon,r,"Not Owned",Non-foil,false,,"","Bloodspillers","",,
"Outnumber",1,"Instant",R,"jmp","354",common,r,"Not Owned",Non-foil,false,,"","Bloodspillers","",,
"Relic Axe",2,"Artifact - Equipment",,"znr","248",uncommon,c,"Not Owned",Non-foil,false,,"","Bloodspillers","",83491,
"Obsidian Battle-Axe",3,"Tribal Artifact - Warrior Equipment",,"mor","144",uncommon,c,"Not Owned",Non-foil,false,,"","Bloodspillers","",29220,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Bloodspillers","",,
"Champion of the Flame",2,"Creature - Human Warrior",R,"dom","116",uncommon,r,"Not Owned",Non-foil,false,,"","Burning Aura","",67697,
"Sun-Collared Raptor",2,"Creature - Dinosaur",R,"rix","118",common,r,"Not Owned",Non-foil,false,,"","Burning Aura","",66689,
"Flaring Flame-Kin",3,"Creature - Elemental Warrior",R,"cns","142",uncommon,r,"Not Owned",Non-foil,false,,"","Burning Aura","",,
"Markov Blademaster",3,"Creature - Vampire Warrior",R,"dka","96",rare,r,"Not Owned",Non-foil,false,,"","Burning Aura","",43281,
"Valduk, Keeper of the Flame",3,"Legendary Creature - Human Shaman",R,"dom","148",uncommon,r,"Not Owned",Non-foil,false,,"","Burning Aura","",67761,
"Brood Keeper",4,"Creature - Human Shaman",R,"m15","132",uncommon,r,"Not Owned",Non-foil,false,,"","Burning Aura","",53550,
"Dragon-Style Twins",5,"Creature - Human Monk",R,"ktk","108",rare,r,"Not Owned",Non-foil,false,,"","Burning Aura","",54370,
"Dragon Mantle",1,"Enchantment - Aura",R,"ths","119",common,r,"Not Owned",Non-foil,false,,"","Burning Aura","",50342,
"Hammerhand",1,"Enchantment - Aura",R,"e01","52",common,r,"Not Owned",Non-foil,false,,"","Burning Aura","",,
"Inferno Fist",2,"Enchantment - Aura",R,"m15","150",common,r,"Not Owned",Non-foil,false,,"","Burning Aura","",53718,
"Galvanic Arc",3,"Enchantment - Aura",R,"rav","126",common,r,"Not Owned",Non-foil,false,,"","Burning Aura","",23258,
"Iroas's Blessing",4,"Enchantment - Aura",R,"thb","142",common,r,"Not Owned",Non-foil,false,,"","Burning Aura","",79408,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Burning Aura","",,
"Initiate's Companion",2,"Creature - Cat",G,"akh","174",common,g,"Not Owned",Non-foil,false,,"","Cats","",63950,
"Feline Sovereign",3,"Creature - Cat",G,"m21","180",rare,g,"Not Owned",Non-foil,false,,"","Cats","",81587,
"Mirri, Cat Warrior",3,"Legendary Creature - Cat Warrior",G,"10e","279",rare,g,"Not Owned",Non-foil,false,,"","Cats","",27234,
"Pridemalkin",3,"Creature - Cat",G,"m21","196",common,g,"Not Owned",Non-foil,false,,"","Cats","",81619,
"Territorial Scythecat",3,"Creature - Cat",G,"znr","213",common,g,"Not Owned",Non-foil,false,,"","Cats","",83417,
"Canopy Stalker",4,"Creature - Cat",G,"m21","175",uncommon,g,"Not Owned",Non-foil,false,,"","Cats","",81577,
"Sabertooth Mauler",4,"Creature - Cat",G,"m21","202",common,g,"Not Owned",Non-foil,false,,"","Cats","",81631,
"Keeper of Fables",5,"Creature - Cat",G,"jmp","407",uncommon,g,"Not Owned",Non-foil,false,,"","Cats","",,
"Nature's Way",2,"Sorcery",G,"ddu","20",uncommon,g,"Not Owned",Non-foil,false,,"","Cats","",,
"Enlarge",5,"Sorcery",G,"2xm","166",uncommon,g,"Not Owned",Non-foil,false,,"","Cats","",82366,
"Sixth Sense",1,"Enchantment - Aura",G,"akh","187",uncommon,g,"Not Owned",Non-foil,false,,"","Cats","",63976,
"Feral Invocation",3,"Enchantment - Aura",G,"jmp","396",common,g,"Not Owned",Non-foil,false,,"","Cats","",,
"Thriving Grove",0,"Land",G,"jmp","34",common,l,"Not Owned",Non-foil,false,,"","Cats","",,
"Chandra's Embercat",2,"Creature - Elemental Cat",R,"m20","129",common,r,"Not Owned",Non-foil,false,,"","Chandra","",73157,
"Chandra's Magmutt",2,"Creature - Elemental Dog",R,"m21","137",common,r,"Not Owned",Non-foil,false,,"","Chandra","",81501,
"Chandra's Pyreling",2,"Creature - Elemental Lizard",R,"m21","138",uncommon,r,"Not Owned",Non-foil,false,,"","Chandra","",81503,
"Young Pyromancer",2,"Creature - Human Shaman",R,"jmp","372",uncommon,r,"Not Owned",Non-foil,false,,"","Chandra","",,
"Chandra's Spitfire",3,"Creature - Elemental",R,"m20","132",uncommon,r,"Not Owned",Non-foil,false,,"","Chandra","",73163,
"Pyroclastic Elemental",5,"Creature - Elemental",R,"jmp","356",uncommon,r,"Not Owned",Non-foil,false,,"","Chandra","",,
"Chandra's Incinerator",6,"Creature - Elemental",R,"m21","136",rare,r,"Not Owned",Non-foil,false,,"","Chandra","",81499,
"Chandra, Flamecaller",6,"Legendary Planeswalker - Chandra",R,"ogw","104",mythic,r,"Not Owned",Non-foil,false,,"","Chandra","",59361,
"Chandra's Pyrohelix",2,"Instant",R,"kld","111",common,r,"Not Owned",Non-foil,false,,"","Chandra","",61709,
"Chandra's Outrage",4,"Instant",R,"m12","125",common,r,"Not Owned",Non-foil,false,,"","Chandra","",41327,
"Flames of the Firebrand",3,"Sorcery",R,"jmp","317",uncommon,r,"Not Owned",Non-foil,false,,"","Chandra","",,
"Seal of Fire",1,"Enchantment",R,"jvc","50",common,r,"Not Owned",Non-foil,false,,"","Chandra","",,
"Thriving Bluff",0,"Land",R,"jmp","33",common,l,"Not Owned",Non-foil,false,,"","Chandra","",,
"Prismite",2,"Artifact Creature - Golem",,"war","242",common,c,"Not Owned",Non-foil,false,,"","Chromatic","",72090,
"Quirion Dryad",2,"Creature - Dryad",G,"m13","184",rare,g,"Not Owned",Non-foil,false,,"","Chromatic","",45236,
"Skittering Surveyor",3,"Artifact Creature - Construct",,"dom","230",common,c,"Not Owned",Non-foil,false,,"","Chromatic","",67925,
"Springmantle Cleric",5,"Creature - Elf Cleric",G,"znr","205",uncommon,g,"Not Owned",Non-foil,false,,"","Chromatic","",83399,
"Prophetic Prism",2,"Artifact",,"mb1","1622",common,c,"Not Owned",Non-foil,false,,"","Chromatic","",,
"Gift of Paradise",3,"Enchantment - Aura",G,"m19","184",uncommon,g,"Not Owned",Non-foil,false,,"","Chromatic","",68529,
"Dinrova Horror",6,"Creature - Horror",UB,"gtc","155",uncommon,m,"Not Owned",Non-foil,false,,"","Chromatic","",47665,
"Chamber Sentry",0,"Artifact Creature - Construct",WUBRG,"grn","232",rare,m,"Not Owned",Non-foil,false,,"","Chromatic","",69877,
"Kaleidostone",2,"Artifact",WUBRG,"con","137",common,m,"Not Owned",Non-foil,false,,"","Chromatic","",31671,
"Dragonsoul Knight",3,"Creature - Human Knight",WUBRG,"con","62",uncommon,m,"Not Owned",Non-foil,false,,"","Chromatic","",31903,
"Paragon of the Amesha",3,"Creature - Human Knight",WUBRG,"con","14",uncommon,m,"Not Owned",Non-foil,false,,"","Chromatic","",31779,
"Chromanticore",5,"Enchantment Creature - Manticore",WUBRG,"bng","144",mythic,m,"Not Owned",Non-foil,false,,"","Chromatic","",51869,
"Evolving Wilds",0,"Land",,"ddo","58",common,l,"Not Owned",Non-foil,false,,"","Chromatic","",,
"Rupture Spire",0,"Land",,"cma","267",common,l,"Not Owned",Non-foil,false,,"","Chromatic","",,
"Archfiend's Vessel",1,"Creature - Human Cleric",B,"m21","88",uncommon,b,"Not Owned",Non-foil,false,,"","Demons","",81403,
"Soulcage Fiend",3,"Creature - Demon",B,"avr","120",common,b,"Not Owned",Non-foil,false,,"","Demons","",44065,
"Takenuma Bleeder",3,"Creature - Ogre Shaman",B,"bok","86",common,b,"Not Owned",Non-foil,false,,"","Demons","",21847,
"Blood Speaker",4,"Creature - Ogre Shaman",B,"chk","103",uncommon,b,"Not Owned",Non-foil,false,,"","Demons","",21377,
"Renegade Demon",5,"Creature - Demon",B,"avr","118",common,b,"Not Owned",Non-foil,false,,"","Demons","",43821,
"Demonlord Belzenlok",6,"Legendary Creature - Elder Demon",B,"dom","86",mythic,b,"Not Owned",Non-foil,false,,"","Demons","",67637,
"Havoc Demon",7,"Creature - Demon",B,"ema","90",uncommon,b,"Not Owned",Non-foil,false,,"","Demons","",60815,
